Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
NON TESLA,CHEVROLET, BOLT EV,CHEVROLET BOLT EV,4/1/2018,Reset,1275,1,1,0,,1275,,1275,0,Fully Electric,1,APR,1275,2018,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2018,Reset,1171,1,1,0,,1171,,1171,0,Fully Electric,1,APR,1171,2018,4
NON TESLA,BMW, 530E,BMW 530E,4/1/2018,Reset,518,1,1,0,,518,,518,0,Hybrid,1,APR,518,2018,4
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,4/1/2018,Reset,742,1,1,0,,742,,742,0,Hybrid,1,APR,742,2018,4
NON TESLA,CHRYSLER, PACIFICA HYBRID,CHRYSLER PACIFICA HYBRID,4/1/2018,Reset,425,1,1,0,,425,,425,0,Hybrid,1,APR,425,2018,4
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),4/1/2018,Reset,503,1,1,0,,503,,503,0,Fully Electric,1,APR,503,2018,4
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,4/1/2018,Reset,563,1,1,0,,563,,563,0,Hybrid,1,APR,563,2018,4
NON TESLA,MITSUBISHI, OUTLANDER PHEV,MITSUBISHI OUTLANDER PHEV,4/1/2018,Reset,273,1,1,0,,273,,273,0,Hybrid,1,APR,273,2018,4
NON TESLA,KIA, NIRO PHEV,KIA NIRO PHEV,4/1/2018,Reset,120,1,1,0,,120,,120,0,Hybrid,1,APR,120,2018,4
NON TESLA,BMW, 330E,BMW 330E,4/1/2018,Reset,166,1,1,0,,166,,166,0,Hybrid,1,APR,166,2018,4
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,4/1/2018,Reset,189,1,1,0,,189,,189,0,Hybrid,1,APR,189,2018,4
NON TESLA,VOLVO, XC60 PHEV,VOLVO XC60 PHEV,4/1/2018,Reset,141,1,1,0,,141,,141,0,Hybrid,1,APR,141,2018,4
NON TESLA,FIAT, 500E,FIAT 500E,4/1/2018,Reset,215,1,1,0,,215,,215,0,Fully Electric,1,APR,215,2018,4
NON TESLA,PORSCHE, PANAMERA E-HYBRID,PORSCHE PANAMERA E-HYBRID,4/1/2018,Reset,336,1,1,0,,336,,336,0,Hybrid,1,APR,336,2018,4
NON TESLA,MERCEDES, C350E,MERCEDES C350E,4/1/2018,Reset,158,1,1,0,,158,,158,0,Hybrid,1,APR,158,2018,4
NON TESLA,HYUNDAI, IONIQ PHEV,HYUNDAI IONIQ PHEV,4/1/2018,Reset,180,1,1,0,,180,,180,0,Hybrid,1,APR,180,2018,4
NON TESLA,MINI, COUNTRYMAN SE PHEV,MINI COUNTRYMAN SE PHEV,4/1/2018,Reset,106,1,1,0,,106,,106,0,Hybrid,1,APR,106,2018,4
NON TESLA,VOLVO, XC90 T8 PHEV,VOLVO XC90 T8 PHEV,4/1/2018,Reset,90,1,1,0,,90,,90,0,Hybrid,1,APR,90,2018,4
NON TESLA,VW, E-GOLF,VW E-GOLF,4/1/2018,Reset,128,1,1,0,,128,,128,0,Fully Electric,1,APR,128,2018,4
NON TESLA,SMART, ED,SMART ED,4/1/2018,Reset,80,1,1,0,,80,,80,0,Fully Electric,1,APR,80,2018,4
NON TESLA,KIA, SOUL EV,KIA SOUL EV,4/1/2018,Reset,152,1,1,0,,152,,152,0,Fully Electric,1,APR,152,2018,4
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,4/1/2018,Reset,265,1,1,0,,265,,265,0,Hybrid,1,APR,265,2018,4
NON TESLA,MERCEDES, GLE 550E,MERCEDES GLE 550E,4/1/2018,Reset,93,1,1,0,,93,,93,0,Hybrid,1,APR,93,2018,4
NON TESLA,KIA, OPTIMA PHEV,KIA OPTIMA PHEV,4/1/2018,Reset,142,1,1,0,,142,,142,0,Hybrid,1,APR,142,2018,4
NON TESLA,HONDA, CLARITY BEV,HONDA CLARITY BEV,4/1/2018,Reset,39,1,1,0,,39,,39,0,Fully Electric,1,APR,39,2018,4
NON TESLA,BMW, I8,BMW I8,4/1/2018,Reset,57,1,1,0,,57,,57,0,Hybrid,1,APR,57,2018,4
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,4/1/2018,Reset,57,1,1,0,,57,,57,0,Hybrid,1,APR,57,2018,4
NON TESLA,MERCEDES, GLC 350E,MERCEDES GLC 350E,4/1/2018,Reset,59,1,1,0,,59,,59,0,Hybrid,1,APR,59,2018,4
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,4/1/2018,Reset,83,1,1,0,,83,,83,0,Fully Electric,1,APR,83,2018,4
NON TESLA,HYUNDAI, SONATA PHEV,HYUNDAI SONATA PHEV,4/1/2018,Reset,38,1,1,0,,38,,38,0,Hybrid,1,APR,38,2018,4
NON TESLA,VOLVO, S90 T8 PHEV,VOLVO S90 T8 PHEV,4/1/2018,Reset,29,1,1,0,,29,,29,0,Hybrid,1,APR,29,2018,4
NON TESLA,HYUNDAI, IONIQ EV,HYUNDAI IONIQ EV,4/1/2018,Reset,7,1,1,0,,7,,7,0,Fully Electric,1,APR,7,2018,4
NON TESLA,BMW, 740E,BMW 740E,4/1/2018,Reset,60,1,1,0,,60,,60,0,Hybrid,1,APR,60,2018,4
NON TESLA,CADILLAC, CT6 PHEV,CADILLAC CT6 PHEV,4/1/2018,Reset,42,1,1,0,,42,,42,0,Hybrid,1,APR,42,2018,4
NON TESLA,MERCEDES, B250E,MERCEDES B250E,4/1/2018,Reset,7,1,1,0,,7,,7,0,Fully Electric,1,APR,7,2018,4
NON TESLA,MERCEDES, S550E,MERCEDES S550E,4/1/2018,Reset,9,1,1,0,,9,,9,0,Hybrid,1,APR,9,2018,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,8/1/2011,Reset,302,1,1,0,,302,,-151,-261.539671943,Hybrid,1,AUG,302,2011,8
NON TESLA,NISSAN, LEAF,NISSAN LEAF,8/1/2011,Reset,1362,1,1,0,,1362,,-681,-1179.526599954,Fully Electric,1,AUG,1362,2011,8
